holc_grades,distance_m,metric,timing,pt_est,ci_lower,ci_upper
A to B,0,count,all,0.562,0.345,0.808
A to B,0,density,all,0.564,0.313,0.816
A to B,100,count,all,0.933,0.553,1.313
A to B,100,density,all,1.013,0.598,1.428
B to C,0,count,all,0.949,0.573,1.325
B to C,0,density,all,0.8,0.512,1.089
B to C,100,count,all,1.565,1.012,2.118
B to C,100,density,all,1.448,0.988,1.908
C to D,0,count,all,1.386,0.826,1.946
C to D,0,density,all,0.984,0.58,1.388
C to D,100,count,all,1.969,1.262,2.677
C to D,100,density,all,1.452,0.925,1.979
A to B,0,count,before,0.024,0.003,0.045
A to B,0,density,before,0.018,0,0.039
A to B,100,count,before,0.037,0.01,0.064
A to B,100,density,before,0.033,0.004,0.062
B to C,0,count,before,0.03,0.015,0.046
B to C,0,density,before,0.019,0.009,0.028
B to C,100,count,before,0.048,0.026,0.07
B to C,100,density,before,0.036,0.017,0.055
C to D,0,count,before,0.238,0.039,0.436
C to D,0,density,before,0.203,0.053,0.352
C to D,100,count,before,0.318,0.074,0.562
C to D,100,density,before,0.27,0.087,0.453
A to B,0,count,after,0.076,0.035,0.118
A to B,0,density,after,0.074,0.022,0.126
A to B,100,count,after,0.13,0.061,0.2
A to B,100,density,after,0.155,0.046,0.264
B to C,0,count,after,0.271,0.046,0.496
B to C,0,density,after,0.168,0.056,0.279
B to C,100,count,after,0.468,0.162,0.774
B to C,100,density,after,0.381,0.182,0.58
C to D,0,count,after,0.378,0.18,0.575
C to D,0,density,after,0.227,0.143,0.311
C to D,100,count,after,0.609,0.318,0.9
C to D,100,density,after,0.409,0.265,0.554
